familia,crudas,umbral,MSE_CV,DE_pliegues,columnas
log,False,60.0,19.594995186384907,2.583786236190753,7
log,False,60.25,19.691538234992215,2.6645126499919445,7
log,False,60.5,19.695556952226212,2.668552303115971,7
log,False,59.75,19.700873125098422,2.5115680145945523,7
log,False,59.5,19.83667834190087,2.479080389495841,7
log,False,61.0,19.970065643419037,2.5388640217538723,7
log,True,60.0,20.067056101428086,2.600928673625187,18
log,True,60.5,20.148084721959172,2.682226697001679,18
log,True,59.75,20.148447778045693,2.5466748893202156,18
log,True,60.25,20.153363501343556,2.669543310872913,18
sqrt,True,60.0,20.201810055045474,2.7060379349085912,18
log1p,True,60.0,20.23763969558225,2.6824019751922967,18
sqrt,True,59.75,20.308140057781742,2.6637153524461,18
log,True,59.5,20.30934577999102,2.515037127261738,18
sqrt,True,60.25,20.31084045826845,2.7922599076104695,18
sqrt,True,60.5,20.313785509448426,2.800879705938428,18
log1p,True,60.25,20.349822522090072,2.7695493233809114,18
log1p,True,59.75,20.35161063128523,2.635927272122512,18
log1p,True,60.5,20.355915900196507,2.7742841078273845,18
log,True,61.0,20.37830929796595,2.5583872344079848,18
log1p,False,60.0,20.450587474859866,2.8924451703241782,7
sqrt,True,59.5,20.456217509062167,2.6452474384577935,18
log1p,True,59.5,20.49652991279671,2.624052570610418,18
log,False,59.0,20.51043052419738,2.3286240818729387,7
sqrt,True,61.0,20.52041744464652,2.6448098710190933,18
log1p,False,60.25,20.566920829726428,2.9834946168995873,7
log1p,True,61.0,20.574283797698378,2.606099082532872,18
log1p,False,60.5,20.583080315551193,2.9822184412324537,7
log1p,False,59.75,20.610194193121565,2.806303566846811,7
log1p,False,59.5,20.736961565250724,2.791790340808843,7
log1p,False,61.0,20.862175341771266,2.7667902954741352,7
log,True,59.0,21.00251141831738,2.4049603363332754,18
sqrt,True,59.0,21.05835233720161,2.4918701676220025,18
log1p,True,59.0,21.079710846533903,2.4625160060870117,18
log1p,False,59.0,21.33818290527987,2.6036091447049245,7
log,False,58.0,21.343037938585418,2.4841498168061382,7
sqrt,False,60.0,21.49332337067474,3.2130749826836267,7
sqrt,False,60.25,21.61013425866803,3.29749757618331,7
sqrt,False,60.5,21.615488847333882,3.3014856945970115,7
sqrt,False,59.75,21.668086530265363,3.1512794847114387,7
sqrt,True,58.0,21.741047913095112,2.6624775431035106,18
log1p,True,58.0,21.759559217787466,2.6253314608113487,18
log,True,58.0,21.765518431609316,2.6302273215643526,18
sqrt,False,59.5,21.80414180584489,3.1256988627635223,7
log,False,62.0,21.874220686723298,3.5549828930195417,7
log,True,62.0,21.893314173454282,3.3627397231517073,18
sqrt,False,61.0,21.905187414459764,3.097866918892259,7
sqrt,True,62.0,22.051830224261572,3.454605037383843,18
log1p,True,62.0,22.114316636642524,3.420285053950162,18
log1p,False,58.0,22.129682513262125,2.720212589796038,7
sqrt,False,59.0,22.456407767986505,2.9370741871601904,7
log1p,False,62.0,22.84482207704873,3.694068907781226,7
sqrt,False,58.0,23.277093514931003,3.0493303960380134,7
sqrt,False,62.0,23.90824651757024,4.005528553426442,7
