termino,coeficiente_estandarizado,activo
x1,-0.0,False
x2,-0.0,False
x3,-0.0,False
x4,-0.926713192609463,True
x5,0.0,False
x6,1.4348671428031423,True
x7,0.0,False
x8,-0.0,False
x9,0.0,False
x10,-0.0,False
x11,1.909316222256973,True
x12,0.0,False
x1^2,-0.0,False
x1 x2,-0.0,False
x1 x3,-0.0,False
x1 x4,0.0,False
x1 x5,0.0,False
x1 x6,0.0,False
x1 x7,0.0,False
x1 x8,0.0,False
x1 x9,-0.0,False
x1 x10,0.0,False
x1 x11,4.07262170318626,True
x1 x12,-0.0,False
x2^2,2.5557504876642057,True
x2 x3,0.0,False
x2 x4,0.0,False
x2 x5,0.0,False
x2 x6,-0.0,False
x2 x7,0.0,False
x2 x8,-0.0,False
x2 x9,-0.0,False
x2 x10,-0.0,False
x2 x11,-0.0,False
x2 x12,0.0,False
x3^2,-0.0,False
x3 x4,-0.0,False
x3 x5,0.0,False
x3 x6,0.0,False
x3 x7,0.0,False
x3 x8,-0.0,False
x3 x9,-0.0,False
x3 x10,-0.0,False
x3 x11,0.0,False
x3 x12,0.0,False
x4^2,-0.0,False
x4 x5,0.0,False
x4 x6,0.0,False
x4 x7,0.05799478113838669,True
x4 x8,-0.0,False
x4 x9,-0.0,False
x4 x10,0.0,False
x4 x11,0.30706438168802563,True
x4 x12,-0.0,False
x5^2,-0.0,False
x5 x6,0.0,False
x5 x7,-0.0,False
x5 x8,-0.0,False
x5 x9,0.0,False
x5 x10,-0.0,False
x5 x11,-0.0,False
x5 x12,0.0,False
x6^2,-0.0,False
x6 x7,0.0,False
x6 x8,-0.0,False
x6 x9,0.2663001622092256,True
x6 x10,0.0,False
x6 x11,0.0,False
x6 x12,-0.0,False
x7^2,-0.0,False
x7 x8,-0.0,False
x7 x9,0.0,False
x7 x10,0.0,False
x7 x11,0.0,False
x7 x12,-0.0,False
x8^2,-0.0,False
x8 x9,-0.0,False
x8 x10,0.0,False
x8 x11,0.0,False
x8 x12,0.0,False
x9^2,3.196767409446807,True
x9 x10,-0.0,False
x9 x11,0.0,False
x9 x12,0.0,False
x10^2,-0.0,False
x10 x11,0.0,False
x10 x12,0.0,False
x11^2,0.0,False
x11 x12,0.0,False
x12^2,-0.0,False
x1^3,0.0,False
x1^2 x2,0.0,False
x1^2 x3,-0.0,False
x1^2 x4,-0.0,False
x1^2 x5,-0.0,False
x1^2 x6,0.3426120753802541,True
x1^2 x7,0.0,False
x1^2 x8,-0.0,False
x1^2 x9,0.0,False
x1^2 x10,0.0,False
x1^2 x11,0.0,False
x1^2 x12,-0.0,False
x1 x2^2,-0.0,False
x1 x2 x3,-0.0,False
x1 x2 x4,-0.0,False
x1 x2 x5,0.048053105909778404,True
x1 x2 x6,-0.0,False
x1 x2 x7,-0.0,False
x1 x2 x8,-0.0,False
x1 x2 x9,-0.0,False
x1 x2 x10,0.0,False
x1 x2 x11,-0.0,False
x1 x2 x12,0.0,False
x1 x3^2,-0.0,False
x1 x3 x4,-0.0,False
x1 x3 x5,0.0,False
x1 x3 x6,0.0,False
x1 x3 x7,0.0,False
x1 x3 x8,-0.0,False
x1 x3 x9,-0.0,False
x1 x3 x10,0.0,False
x1 x3 x11,0.0,False
x1 x3 x12,0.0,False
x1 x4^2,0.0,False
x1 x4 x5,0.0,False
x1 x4 x6,0.0,False
x1 x4 x7,0.0,False
x1 x4 x8,0.0,False
x1 x4 x9,0.0,False
x1 x4 x10,-0.0,False
x1 x4 x11,0.0,False
x1 x4 x12,0.0,False
x1 x5^2,0.0,False
x1 x5 x6,0.0,False
x1 x5 x7,0.0,False
x1 x5 x8,-0.0,False
x1 x5 x9,0.0,False
x1 x5 x10,0.0,False
x1 x5 x11,-0.0,False
x1 x5 x12,0.0,False
x1 x6^2,0.039370143189263254,True
x1 x6 x7,0.0,False
x1 x6 x8,0.0,False
x1 x6 x9,0.0,False
x1 x6 x10,0.0,False
x1 x6 x11,0.0,False
x1 x6 x12,-0.0,False
x1 x7^2,-0.0,False
x1 x7 x8,-0.0,False
x1 x7 x9,0.0,False
x1 x7 x10,0.0,False
x1 x7 x11,-0.0,False
x1 x7 x12,-0.0,False
x1 x8^2,0.0,False
x1 x8 x9,0.0,False
x1 x8 x10,0.0,False
x1 x8 x11,0.0,False
x1 x8 x12,-0.0,False
x1 x9^2,-0.0,False
x1 x9 x10,0.0,False
x1 x9 x11,0.0,False
x1 x9 x12,-0.0,False
x1 x10^2,0.0,False
x1 x10 x11,0.0,False
x1 x10 x12,-0.0,False
x1 x11^2,0.0,False
x1 x11 x12,0.007191599267144116,True
x1 x12^2,0.0,False
x2^3,0.0,False
x2^2 x3,0.0,False
x2^2 x4,0.0,False
x2^2 x5,-0.0,False
x2^2 x6,0.29455308220631077,True
x2^2 x7,0.0,False
x2^2 x8,-0.0,False
x2^2 x9,1.69871279030025,True
x2^2 x10,-0.0,False
x2^2 x11,0.09066309298689264,True
x2^2 x12,0.0,False
x2 x3^2,0.0,False
x2 x3 x4,0.0,False
x2 x3 x5,-0.0,False
x2 x3 x6,-0.0,False
x2 x3 x7,0.0,False
x2 x3 x8,-0.08142652154400654,True
x2 x3 x9,0.0,False
x2 x3 x10,0.0,False
x2 x3 x11,-0.0,False
x2 x3 x12,-0.0,False
x2 x4^2,0.0,False
x2 x4 x5,0.0,False
x2 x4 x6,-0.0,False
x2 x4 x7,0.0,False
x2 x4 x8,-0.050677349813112074,True
x2 x4 x9,-0.0,False
x2 x4 x10,-0.0,False
x2 x4 x11,-0.0,False
x2 x4 x12,0.0,False
x2 x5^2,0.0,False
x2 x5 x6,0.2629419995399149,True
x2 x5 x7,-0.0,False
x2 x5 x8,-0.0,False
x2 x5 x9,-0.0,False
x2 x5 x10,-0.0,False
x2 x5 x11,0.0,False
x2 x5 x12,-0.0,False
x2 x6^2,-0.0,False
x2 x6 x7,-0.0,False
x2 x6 x8,-0.0,False
x2 x6 x9,-0.0,False
x2 x6 x10,-0.0,False
x2 x6 x11,-0.0,False
x2 x6 x12,0.0,False
x2 x7^2,0.0,False
x2 x7 x8,-0.0,False
x2 x7 x9,0.0,False
x2 x7 x10,-0.0,False
x2 x7 x11,-0.0,False
x2 x7 x12,0.0,False
x2 x8^2,0.0,False
x2 x8 x9,-0.21469852492448419,True
x2 x8 x10,-0.0,False
x2 x8 x11,-0.0,False
x2 x8 x12,-0.0,False
x2 x9^2,-0.0,False
x2 x9 x10,0.0,False
x2 x9 x11,-0.0,False
x2 x9 x12,0.0,False
x2 x10^2,0.0,False
x2 x10 x11,-0.0,False
x2 x10 x12,0.0,False
x2 x11^2,-0.0,False
x2 x11 x12,-0.0,False
x2 x12^2,0.0,False
x3^3,-0.0,False
x3^2 x4,-0.0,False
x3^2 x5,0.0,False
x3^2 x6,0.0,False
x3^2 x7,0.0,False
x3^2 x8,-0.0,False
x3^2 x9,-0.0,False
x3^2 x10,-0.0,False
x3^2 x11,0.0,False
x3^2 x12,0.0,False
x3 x4^2,-0.0,False
x3 x4 x5,0.0,False
x3 x4 x6,0.0,False
x3 x4 x7,0.0,False
x3 x4 x8,0.0,False
x3 x4 x9,-0.0,False
x3 x4 x10,-0.0,False
x3 x4 x11,0.0,False
x3 x4 x12,0.0,False
x3 x5^2,-0.0,False
x3 x5 x6,0.0,False
x3 x5 x7,-0.0,False
x3 x5 x8,-0.0,False
x3 x5 x9,0.0,False
x3 x5 x10,-0.0,False
x3 x5 x11,-0.0,False
x3 x5 x12,0.0,False
x3 x6^2,-0.0,False
x3 x6 x7,-0.0,False
x3 x6 x8,-0.0,False
x3 x6 x9,0.0,False
x3 x6 x10,0.0,False
x3 x6 x11,0.0,False
x3 x6 x12,-0.0,False
x3 x7^2,-0.0,False
x3 x7 x8,-0.0,False
x3 x7 x9,0.0,False
x3 x7 x10,-0.0,False
x3 x7 x11,0.0,False
x3 x7 x12,-0.20267894149049692,True
x3 x8^2,-0.0,False
x3 x8 x9,-0.0,False
x3 x8 x10,-0.0,False
x3 x8 x11,0.0,False
x3 x8 x12,-0.0,False
x3 x9^2,-0.0,False
x3 x9 x10,-0.0,False
x3 x9 x11,0.0,False
x3 x9 x12,0.0,False
