pliegue,MSE,alpha,no_cero,iteraciones,dual_gap
1,53.99352357012696,0.5904545052481256,37,64,0.010222897967749608
2,57.9145053708841,0.32881313098424275,70,93,0.009332840786570765
3,64.33854133663851,0.525217251966192,37,45,0.010989115354391288
4,58.01002683131174,0.5904545052481256,34,54,0.009275842346437458
5,66.72077060715954,0.525217251966192,42,110,0.002790801032847412
6,63.40296848687653,0.525217251966192,41,45,0.01253347061299337
7,51.81493034229928,0.525217251966192,32,46,0.008922268848057987
8,43.07093312789087,0.525217251966192,46,65,0.010102846897348172
9,52.997218303575,0.525217251966192,42,73,0.00735108382192872
10,69.94671991561808,0.46718783464442726,43,58,0.011869408826904267
11,56.0805667008973,0.41556988469563527,57,84,0.013023515228587712
12,60.86764098561275,0.525217251966192,30,51,0.004996525393683744
13,55.0122382546331,0.5904545052481256,35,64,0.008421348103721964
14,59.81071364177096,0.5904545052481256,30,64,0.009087226302942024
15,50.628543085839325,0.525217251966192,40,54,0.010723582662012631
16,53.21177424418696,0.525217251966192,38,63,0.007851857843123373
17,62.451715517785374,0.46718783464442726,43,54,0.011004463274760685
18,46.60627711466858,0.5904545052481256,34,38,0.007222732604251784
19,64.11988007235023,0.5904545052481256,30,216,0.006638933303005009
20,55.98524524986988,0.525217251966192,34,59,0.00740067466592033
